"","Year","Period","State","State.ANSI","Data.Item","Value"
"1264",2016,"JAN THRU MAR","CONNECTICUT",9,"LOSS, DEADOUT","270"
"1265",2016,"JAN THRU MAR","FLORIDA",12,"LOSS, DEADOUT","40,000"
"1266",2016,"JAN THRU MAR","GEORGIA",13,"LOSS, DEADOUT","15,500"
"1267",2016,"JAN THRU MAR","HAWAII",15,"LOSS, DEADOUT","280"
"1268",2016,"JAN THRU MAR","IDAHO",16,"LOSS, DEADOUT","8,500"
"1269",2016,"JAN THRU MAR","ILLINOIS",17,"LOSS, DEADOUT","1,400"
"1270",2016,"JAN THRU MAR","INDIANA",18,"LOSS, DEADOUT","770"
"1271",2016,"JAN THRU MAR","IOWA",19,"LOSS, DEADOUT","2,900"
"1272",2016,"JAN THRU MAR","KANSAS",20,"LOSS, DEADOUT","1,100"
"1273",2016,"JAN THRU MAR","KENTUCKY",21,"LOSS, DEADOUT","1,300"
"1274",2016,"JAN THRU MAR","LOUISIANA",22,"LOSS, DEADOUT","11,000"
"1275",2016,"JAN THRU MAR","MAINE",23,"LOSS, DEADOUT","170"
"1276",2016,"JAN THRU MAR","MARYLAND",24,"LOSS, DEADOUT","820"
"1277",2016,"JAN THRU MAR","MASSACHUSETTS",25,"LOSS, DEADOUT","370"
"1278",2016,"JAN THRU MAR","MICHIGAN",26,"LOSS, DEADOUT","5,000"
"1279",2016,"JAN THRU MAR","MINNESOTA",27,"LOSS, DEADOUT","5,500"
"1280",2016,"JAN THRU MAR","MISSISSIPPI",28,"LOSS, DEADOUT","7,500"
"1281",2016,"JAN THRU MAR","MISSOURI",29,"LOSS, DEADOUT","1,300"
"1282",2016,"JAN THRU MAR","MONTANA",30,"LOSS, DEADOUT","900"
"1283",2016,"JAN THRU MAR","NEBRASKA",31,"LOSS, DEADOUT","720"
"1284",2016,"JAN THRU MAR","NEW JERSEY",34,"LOSS, DEADOUT","1,000"
"1285",2016,"JAN THRU MAR","NEW MEXICO",35,"LOSS, DEADOUT","1,700"
"1286",2016,"JAN THRU MAR","NEW YORK",36,"LOSS, DEADOUT","4,200"
"1287",2016,"JAN THRU MAR","NORTH CAROLINA",37,"LOSS, DEADOUT","2,600"
"1288",2016,"JAN THRU MAR","NORTH DAKOTA",38,"LOSS, DEADOUT","8,500"
"1289",2016,"JAN THRU MAR","OHIO",39,"LOSS, DEADOUT","2,900"
"1290",2016,"JAN THRU MAR","OKLAHOMA",40,"LOSS, DEADOUT","3,300"
"1291",2016,"JAN THRU MAR","OREGON",41,"LOSS, DEADOUT","2,900"
"1292",2016,"JAN THRU MAR","PENNSYLVANIA",42,"LOSS, DEADOUT","2,900"
"1293",2016,"JAN THRU MAR","SOUTH CAROLINA",45,"LOSS, DEADOUT","3,500"
"1294",2016,"JAN THRU MAR","SOUTH DAKOTA",46,"LOSS, DEADOUT","10,500"
"1295",2016,"JAN THRU MAR","TENNESSEE",47,"LOSS, DEADOUT","1,700"
"1296",2016,"JAN THRU MAR","TEXAS",48,"LOSS, DEADOUT","30,000"
"1297",2016,"JAN THRU MAR","UTAH",49,"LOSS, DEADOUT","1,900"
"1298",2016,"JAN THRU MAR","VERMONT",50,"LOSS, DEADOUT","410"
"1299",2016,"JAN THRU MAR","VIRGINIA",51,"LOSS, DEADOUT","1,100"
"1300",2016,"JAN THRU MAR","WASHINGTON",53,"LOSS, DEADOUT","13,500"
"1301",2016,"JAN THRU MAR","WEST VIRGINIA",54,"LOSS, DEADOUT","1,700"
"1302",2016,"JAN THRU MAR","WISCONSIN",55,"LOSS, DEADOUT","3,100"
"1303",2016,"JAN THRU MAR","WYOMING",56,"LOSS, DEADOUT","340"
"1304",2016,"APR THRU JUN","ALABAMA",1,"LOSS, DEADOUT","930"
"1305",2016,"APR THRU JUN","ARIZONA",4,"LOSS, DEADOUT","3,700"
"1306",2016,"APR THRU JUN","ARKANSAS",5,"LOSS, DEADOUT","3,400"
"1307",2016,"APR THRU JUN","CALIFORNIA",6,"LOSS, DEADOUT","108,000"
"1308",2016,"APR THRU JUN","COLORADO",8,"LOSS, DEADOUT","1,800"
"1309",2016,"APR THRU JUN","CONNECTICUT",9,"LOSS, DEADOUT","100"
"1310",2016,"APR THRU JUN","FLORIDA",12,"LOSS, DEADOUT","29,000"
"1311",2016,"APR THRU JUN","GEORGIA",13,"LOSS, DEADOUT","11,000"
"1312",2016,"APR THRU JUN","HAWAII",15,"LOSS, DEADOUT","830"
"1313",2016,"APR THRU JUN","IDAHO",16,"LOSS, DEADOUT","6,000"
"1314",2016,"APR THRU JUN","ILLINOIS",17,"LOSS, DEADOUT","740"
"1315",2016,"APR THRU JUN","INDIANA",18,"LOSS, DEADOUT","220"
"1316",2016,"APR THRU JUN","IOWA",19,"LOSS, DEADOUT","2,400"
"1317",2016,"APR THRU JUN","KANSAS",20,"LOSS, DEADOUT","960"
"1318",2016,"APR THRU JUN","KENTUCKY",21,"LOSS, DEADOUT","450"
"1319",2016,"APR THRU JUN","LOUISIANA",22,"LOSS, DEADOUT","4,300"
"1320",2016,"APR THRU JUN","MAINE",23,"LOSS, DEADOUT","4,200"
"1321",2016,"APR THRU JUN","MARYLAND",24,"LOSS, DEADOUT","320"
"1322",2016,"APR THRU JUN","MASSACHUSETTS",25,"LOSS, DEADOUT","300"
"1323",2016,"APR THRU JUN","MICHIGAN",26,"LOSS, DEADOUT","7,500"
"1324",2016,"APR THRU JUN","MINNESOTA",27,"LOSS, DEADOUT","13,000"
"1325",2016,"APR THRU JUN","MISSISSIPPI",28,"LOSS, DEADOUT","3,700"
"1326",2016,"APR THRU JUN","MISSOURI",29,"LOSS, DEADOUT","770"
"1327",2016,"APR THRU JUN","MONTANA",30,"LOSS, DEADOUT","7,000"
"1328",2016,"APR THRU JUN","NEBRASKA",31,"LOSS, DEADOUT","6,000"
"1329",2016,"APR THRU JUN","NEW JERSEY",34,"LOSS, DEADOUT","1,500"
"1330",2016,"APR THRU JUN","NEW MEXICO",35,"LOSS, DEADOUT","1,400"
"1331",2016,"APR THRU JUN","NEW YORK",36,"LOSS, DEADOUT","4,000"
"1332",2016,"APR THRU JUN","NORTH CAROLINA",37,"LOSS, DEADOUT","1,600"
"1333",2016,"APR THRU JUN","NORTH DAKOTA",38,"LOSS, DEADOUT","27,000"
"1334",2016,"APR THRU JUN","OHIO",39,"LOSS, DEADOUT","1,700"
"1335",2016,"APR THRU JUN","OKLAHOMA",40,"LOSS, DEADOUT","310"
"1336",2016,"APR THRU JUN","OREGON",41,"LOSS, DEADOUT","4,300"
"1337",2016,"APR THRU JUN","PENNSYLVANIA",42,"LOSS, DEADOUT","1,300"
"1338",2016,"APR THRU JUN","SOUTH CAROLINA",45,"LOSS, DEADOUT","1,300"
"1339",2016,"APR THRU JUN","SOUTH DAKOTA",46,"LOSS, DEADOUT","11,000"
"1340",2016,"APR THRU JUN","TENNESSEE",47,"LOSS, DEADOUT","580"
"1341",2016,"APR THRU JUN","TEXAS",48,"LOSS, DEADOUT","36,000"
"1342",2016,"APR THRU JUN","UTAH",49,"LOSS, DEADOUT","4,800"
"1343",2016,"APR THRU JUN","VERMONT",50,"LOSS, DEADOUT","20"
"1344",2016,"APR THRU JUN","VIRGINIA",51,"LOSS, DEADOUT","230"
"1345",2016,"APR THRU JUN","WASHINGTON",53,"LOSS, DEADOUT","6,000"
"1346",2016,"APR THRU JUN","WEST VIRGINIA",54,"LOSS, DEADOUT","990"
"1347",2016,"APR THRU JUN","WISCONSIN",55,"LOSS, DEADOUT","5,500"
